features,label
"[-3.8343262e+02  5.2460812e+01 -1.7608942e+01 -1.1810310e+01
 -4.7076292e+00  7.5138912e+00 -2.5082636e+01 -6.9484596e+00
 -1.0093306e+01 -3.2549369e+00  2.8103781e-01  6.5669644e-01
  2.0474989e+00  2.9822869e+00  4.1870050e+00  1.3544613e+00
 -3.5938945e+00 -2.9412308e+00 -3.2039273e+00 -8.7148628e+00
 -6.8746529e+00 -2.0382102e+00 -7.2091713e+00  1.1923175e+01
  1.1763761e+01  2.5123112e+01  2.4045544e+01  2.3451933e+01
  1.2727827e+01  5.7138786e+00 -2.1611531e+00  5.6886926e+00
  8.8942976e+00  6.3061824e+00  2.1949995e+00 -2.2569985e+00
  2.8745236e+00  8.8038845e+00  1.7438910e+00 -1.8942587e+00]",angry
"[-4.4455011e+02  6.5292038e+01 -2.5716541e+00 -2.0355955e+01
 -1.0516433e+01  1.0241208e+01 -9.6079378e+00 -1.3553100e+00
 -1.2456924e+01  2.8278713e+00 -9.5355978e+00  9.9959030e+00
 -7.9107773e-01  4.9289804e+00  1.6117194e+00  3.9461049e-01
 -5.7949495e+00 -4.1433806e+00 -3.3148036e+00 -8.8885231e+00
 -2.8481061e+00 -2.5175364e+00 -2.7924607e+00  9.0123844e+00
  1.5640970e+01  2.5963593e+01  2.6203907e+01  2.4116566e+01
  7.1244531e+00  4.0745525e+00  2.5857120e+00  1.1739426e+01
  1.0388461e+01  2.8089967e+00 -6.3718891e-01 -3.7694929e+00
  2.1939344e+00  9.6906319e+00  2.4245071e+00  2.3424573e-01]",angry
"[-4.0219266e+02  2.6256584e+01 -5.0236301e+00 -4.0751955e-01
 -9.5222360e-01  9.1304600e-01 -1.9256067e+01 -2.4602301e+00
 -1.3165890e+01 -1.0565393e+00 -1.2630615e+01  7.6684918e+00
 -7.6371944e-01  6.8498330e+00 -1.8086603e+00 -6.8706967e-02
 -2.0238333e+00 -1.8566517e+00 -6.3338246e+00 -9.8043871e+00
 -5.3210396e-01  3.7985713e+00  1.8685526e+00  1.9595982e+01
  2.2265165e+01  2.5398314e+01  2.0623833e+01  1.5018019e+01
  1.1445891e+00  3.2745445e+00  3.7113369e+00  1.0577713e+01
  9.3240519e+00 -2.1610491e+00 -3.6853693e+00  1.8915926e+00
  2.3425398e+00  7.5991869e+00 -1.4523840e+00 -2.8007102e+00]",angry
"[-3.8349704e+02  5.2386791e+01 -1.1534900e+01 -1.3975940e+01
 -3.9067540e+00  6.8141117e+00 -2.1693228e+01 -7.6809745e+00
 -1.3304781e+01 -3.1693299e+00 -1.6435298e+00  1.3886420e+00
  6.0374624e-01  4.2145267e-01  6.5133529e+00 -1.3374527e+00
 -5.3340173e+00  9.8982602e-03 -4.8668456e+00 -8.6427507e+00
 -3.0451152e+00 -3.7822502e+00 -4.0427237e+00  1.0086960e+01
  9.0646086e+00  2.3789684e+01  1.9331968e+01  2.2457907e+01
  1.3417693e+01  7.1048455e+00 -5.0277400e-01  8.4584389e+00
  7.2952995e+00  6.0886269e+00  2.9060681e+00  9.1858619e-01
  3.1135020e+00  7.5464163e+00  3.7012293e+00  3.3611104e+00]",angry
"[-3.9856268e+02  5.1876442e+01  3.3703012e+00  8.6659212e+00
  3.8809919e+00  7.3204494e-01 -2.4158323e+01  7.4863005e+00
 -1.9511465e+01 -1.2444627e+01 -1.1401490e+01 -1.8055325e+00
 -4.8490553e+00  3.6493731e+00 -6.5937686e+00 -7.4929249e-01
 -3.0807991e+00 -8.3612120e-01 -5.0297275e+00 -1.1009469e+01
 -1.4304576e+00  3.5325768e+00  7.5201054e+00  2.5210369e+01
  2.5448971e+01  2.8729277e+01  1.6741095e+01  1.2541974e+01
 -2.7494829e+00  3.0442166e+00  3.6329725e+00  6.8810201e+00
  1.4971310e+00 -3.2283112e-01 -5.8654952e-01  8.9069986e-01
  2.0215449e+00  2.5272427e+00 -2.7730882e+00 -1.2807889e+00]",angry
"[-4.26492249e+02  4.86586151e+01 -5.16253614e+00 -1.20517123e+00
  6.47721481e+00  3.14661098e+00 -2.60888977e+01 -3.38165045e+00
 -1.04314289e+01 -4.49216270e+00 -1.01195936e+01  9.47703552e+00
  9.51310873e-01  4.51617718e+00 -9.57647085e-01 -2.09034309e-01
 -4.10368109e+00 -7.22660160e+00 -3.05829644e+00 -9.41144371e+00
 -2.54330230e+00  1.74182683e-01 -4.64635277e+00  1.16312132e+01
  1.33243523e+01  2.07125797e+01  2.14035435e+01  2.12480984e+01
  1.54920635e+01  1.39816904e+01  7.22238064e+00  1.00309410e+01
  7.11980677e+00  6.08824015e+00  4.06570959e+00  1.18899906e+00
  1.37264466e+00  7.17331696e+00  3.14379525e+00  6.07567883e+00]",angry
"[-394.1027       52.584747    -12.002745     -1.3866061    -5.063762
   -1.3075967   -23.385843      1.4099202   -13.218601     -0.8935088
  -11.815134      6.3769255    -5.4786286     2.8141584    -1.3406589
   -0.7688088    -3.3294618    -6.6030645    -6.695402    -11.092195
    5.668746     16.680393     18.981894     31.508055     25.095606
   13.682208      5.571512      2.0220382     0.803452      9.954095
    2.6768982     5.2970495     1.1859583    -1.4953309     5.2437305
    2.2188826     0.45611185    0.55648786   -1.7307867     1.6723713 ]",angry
"[-4.2889124e+02  7.2861618e+01  8.5795860e+00 -8.1893301e+00
 -9.7703285e+00  6.1406666e-01 -1.6937712e+01  8.8863575e-01
 -1.8803368e+01 -6.2814379e+00 -1.0232633e+01  4.1396827e-01
 -2.4232156e+00  8.3357201e+00 -2.2418518e+00  1.5576936e+00
  9.8146535e-02 -2.4826881e-01 -3.0348592e+00 -1.5882079e+01
 -6.3639874e+00 -3.9849985e+00 -1.0416555e+01  6.2635107e+00
  1.3352421e+01  2.5738892e+01  2.8934093e+01  3.2240803e+01
  1.3560739e+01  8.4162693e+00  3.2753170e-01  6.2535992e+00
  7.6388745e+00  1.9389014e+00  4.9498262e+00 -1.5206939e+00
 -8.5125798e-01  9.0974092e+00  5.6946337e-01  1.2849338e+00]",angry
"[-3.9020944e+02  6.0073120e+01  1.8273781e+01 -7.4524277e-01
 -1.7144346e+01 -2.9954176e+00 -1.1515592e+01  1.9162418e+00
 -2.0350399e+01  1.2991242e+00 -1.3951015e+01  1.3853326e+00
 -2.9388225e+00  2.9241707e+00 -3.6595697e+00 -2.8802109e+00
 -2.3889234e+00  1.9952261e+00 -2.6015067e+00 -1.0477367e+01
 -6.2366138e+00 -7.0544400e+00 -1.0916543e+01  2.2234037e+00
  6.2474279e+00  1.9238981e+01  2.4252068e+01  2.6047445e+01
  1.6739494e+01  8.1097374e+00  4.5076885e+00  7.0146670e+00
  6.9086213e+00  4.5383472e+00  6.8665638e+00  1.9701966e+00
 -2.0381111e-01  1.0703571e+01 -4.4465500e-01  2.5257759e+00]",angry
"[-4.0183093e+02  4.4440392e+01 -5.8984418e+00 -1.4426592e+01
 -9.0327940e+00  6.7483230e+00 -1.7640030e+01 -3.4502056e+00
 -1.7850767e+01 -4.8896346e+00 -8.4613142e+00  1.1231445e+01
  1.8565023e+00  6.4572563e+00  1.8978224e+00 -1.1416245e+00
 -6.9176149e+00 -8.4161825e+00 -2.2982965e+00 -6.2486210e+00
  8.1000984e-01  1.1619023e+01  7.9723444e+00  2.5211882e+01
  2.7708158e+01  2.0988951e+01  1.1254770e+01  9.9768896e+00
  5.7120771e+00  9.7538881e+00  6.2823877e+00  7.3097849e+00
  1.9720774e+00 -1.9371793e+00  2.1970246e+00  3.8213885e+00
 -1.9113360e-02  3.5946109e+00 -2.4805112e+00  1.9337499e+00]",angry
